Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"NHPC","https://scanx.trade/company/nhpc-ltd","75.33","-0.53%","75.73","2,15,74,575","75,669.25","21.22","35.41","92.34","71.00","0.11%","-2.71%","1.37%","95.16%","211.93%","1.84","2.52%","8.28%","6.14%","3.60","78.24","82.41","43.04","75.25%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","4,733.00","-1.01%","4,823.00","11,44,899","74,663.08","43.51","25.37","6,599.00","4,148.95","-23.10%","-26.22%","-13.52%","93.38%","471.43%","10.54","0.72%","22.06%","28.61%","76.02","5,969.63","5,752.16","23.32","75.19%","86.36%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","956.75","-0.81%","963.00","37,45,120","74,538.09","-36.95","9.69","1,063.30","606.00","7.20%","12.47%","-8.59%","-11.34%","-9.99%","1.16","-","14.20%","5.98%","115.87","904.84","828.16","63.57","70.00%","86.13%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","299.85","0.12%","299.50","68,71,717","73,851.43","17.49","9.69","301.70","172.66","7.65%","16.96%","67.79%","135.82%","258.89%","2.03","0.40%","12.70%","6.45%","16.45","277.09","230.28","69.08","76.00%","87.50%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","774.40","-0.13%","775.40","46,51,147","73,687.84","35.27","30.80","1,027.25","725.15","0.50%","-11.77%","-9.61%","3.76%","-27.53%","4.99","0.32%","19.93%","20.03%","25.33","809.82","867.27","45.22","76.00%","87.50%"
"Bajaj Housing Finance","https://scanx.trade/company/bajaj-housing-finance-ltd","87.04","-0.61%","87.57","37,40,441","72,524.64","29.48","13.07","136.96","86.67","-1.48%","-17.10%","-21.96%","-47.25%","-47.25%","3.44","-","-","8.84%","-","91.68","108.12","32.16","70.00%","87.50%"
"Meesho","https://scanx.trade/company/meesho-ltd","159.99","-0.21%","160.00","12,44,949","72,205.58","-28.04","34.23","254.40","144.76","-6.06%","-5.94%","-5.94%","-5.94%","-5.94%","13.66","-","-","-95.95%","-","169.75","-","51.04","-","80.00%"
"NMDC","https://scanx.trade/company/nmdc-ltd","81.74","-0.99%","82.31","1,68,29,779","71,864.32","10.52","-2.79","86.72","59.53","7.05%","10.03%","25.39%","118.97%","173.65%","2.24","4.00%","24.47%","29.74%","20.82","81.61","75.16","51.03","75.15%","87.43%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","958.35","-1.48%","976.00","2,28,27,452","71,582.24","31.46","9.69","1,039.20","478.35","-0.80%","0.48%","72.15%","60.25%","70.15%","4.01","0.10%","38.28%","16.45%","23.05","991.79","845.39","41.69","76.00%","87.50%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","942.65","-2.18%","968.80","32,08,469","71,166.13","74.21","37.79","1,104.30","595.60","11.69%","1.05%","53.08%","247.91%","495.30%","7.72","0.10%","7.54%","9.86%","8.50","892.48","888.69","61.96","75.00%","87.50%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","283.95","-5.32%","297.50","9,99,77,962","71,062.11","26.74","30.80","329.45","132.58","-1.41%","-7.69%","103.56%","225.82%","170.69%","2.85","0.91%","9.85%","10.60%","9.93","296.61","249.77","42.41","75.00%","87.50%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,220.40","-0.02%","1,225.30","17,81,292","70,881.03","20.37","4.43","1,278.60","1,010.00","7.76%","-0.57%","12.93%","160.07%","42.70%","2.03","-","10.62%","15.74%","61.22","1,182.85","1,144.34","58.41","76.00%","87.50%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,098.30","-2.18%","1,122.80","30,19,796","70,240.60","-409.56","34.23","1,381.80","651.50","-3.56%","-14.63%","51.37%","76.15%","-29.63%","4.68","-","-13.67%","-4.12%","-","1,230.08","1,154.24","36.65","68.53%","82.59%"
