Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Bosch","https://scanx.trade/company/bosch-ltd","36,425.00","-0.86%","36,795.00","32,321","1,07,430.58","39.30","130.59","41,945.00","25,921.60","3.29%","-0.16%","35.80%","104.52%","145.21%","7.73","1.39%","20.65%","18.89%","646.75","36,437.90","36,646.43","52.95","78.00%","87.50%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,286.30","-2.50%","1,313.80","35,10,396","1,07,358.50","19.93","4.43","1,379.70","1,020.00","4.10%","3.07%","14.28%","43.21%","45.29%","3.06","0.61%","19.74%","21.88%","333.59","1,246.57","1,260.25","55.60","78.00%","91.00%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","100.63","-1.59%","101.76","1,92,13,349","1,06,254.98","-601.29","34.23","110.36","67.75","10.33%","-5.74%","45.23%","170.51%","286.30%","-39.49","-","-86.69%","7.69%","-","99.28","93.26","54.75","75.00%","87.50%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,091.95","-1.62%","1,108.95","60,55,289","1,06,221.55","76.13","37.79","1,314.30","933.80","10.14%","-6.08%","7.46%","153.00%","502.29%","10.74","0.14%","14.89%","11.73%","10.84","1,039.01","1,145.11","60.76","70.00%","87.50%"
"Lupin","https://scanx.trade/company/lupin-ltd","2,301.90","-0.92%","2,330.00","9,55,385","1,05,150.52","22.74","4.43","2,331.80","1,795.20","7.71%","11.12%","21.73%","249.12%","126.04%","5.41","0.52%","13.47%","21.29%","49.64","2,174.17","2,025.76","66.87","76.00%","87.50%"
"Siemens Energy","https://scanx.trade/company/siemens-energy-ltd","2,930.90","0.36%","2,926.00","6,80,155","1,04,375.36","88.10","35.41","3,625.00","2,115.00","37.90%","-5.87%","7.16%","7.16%","7.16%","23.75","0.14%","-","29.23%","-","2,581.75","-","66.44","-","87.50%"
"Marico","https://scanx.trade/company/marico-ltd","788.65","-2.12%","805.75","25,05,181","1,02,373.68","59.78","16.86","813.50","577.85","6.44%","7.43%","26.53%","58.11%","98.38%","25.82","1.29%","36.03%","36.91%","11.73","758.16","728.33","57.42","78.00%","87.50%"
"Groww","https://scanx.trade/company/billionbrains-garage-ventures-ltd","163.49","-0.88%","163.00","1,19,36,171","1,00,932.13","59.78","30.80","193.80","112.00","-2.40%","0.37%","24.49%","24.49%","24.49%","12.08","-","-","49.28%","-","165.06","-","45.79","-","80.00%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,380.80","-0.58%","1,385.00","13,62,196","1,00,432.61","58.75","29.35","1,645.00","1,271.10","3.59%","-5.39%","3.40%","85.74%","158.05%","12.02","0.86%","19.77%","26.08%","19.42","1,378.99","1,394.14","47.61","76.00%","87.50%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","988.25","-2.30%","1,012.00","19,86,835","98,696.97","30.21","19.99","1,531.00","863.80","9.77%","-15.07%","-17.30%","174.67%","324.82%","4.85","0.42%","8.86%","18.64%","19.37","1,046.10","1,210.53","37.97","72.22%","84.92%"
"GE Vernova T&D","https://scanx.trade/company/ge-td-india-ltd","3,850.20","-0.37%","3,848.00","5,44,116","98,583.04","92.66","4.69","3,912.00","1,254.00","41.93%","29.03%","179.48%","3,461.70%","2,911.50%","47.43","0.13%","-","44.57%","-","3,221.41","2,818.86","68.50","60.00%","70.00%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","667.05","-2.04%","685.00","49,68,047","94,950.05","44.78","-1.45","858.00","627.20","3.29%","-8.80%","-7.91%","115.46%","459.98%","8.38","0.33%","11.86%","17.74%","9.03","694.66","736.00","40.72","76.00%","87.50%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","654.50","-2.97%","668.20","22,31,900","94,744.19","71.32","30.80","706.80","525.80","2.47%","5.24%","16.93%","63.75%","41.80%","7.28","0.13%","7.73%","0.44%","6.03","656.63","630.48","50.69","76.00%","80.00%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,901.50","-2.31%","1,945.00","8,52,656","94,695.61","35.41","30.80","2,068.70","1,613.70","5.89%","-5.41%","11.77%","74.59%","33.35%","5.87","0.64%","15.72%","-8.50%","42.73","1,905.36","1,931.21","48.44","78.00%","87.50%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","26,075.00","-2.51%","26,850.00","45,243","94,080.55","53.70","228.35","32,490.00","25,360.00","-3.43%","-3.19%","-7.88%","2.61%","-1.61%","4.30","0.41%","11.55%","6.67%","582.58","26,796.20","28,741.35","41.27","78.00%","87.50%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","438.75","-1.18%","444.00","53,41,791","93,358.21","6.14","9.94","508.45","287.55","5.76%","-5.90%","42.92%","203.28%","171.45%","1.66","2.37%","34.13%","12.56%","46.45","454.48","435.00","45.11","74.69%","87.11%"
