Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"NTPC","https://scanx.trade/company/ntpc-ltd","377.55","-1.14%","365.00","1,47,32,253","3,66,097.63","14.92","33.90","388.55","306.55","9.53%","15.34%","19.59%","119.00%","248.13%","1.93","2.19%","12.31%","9.85%","22.08","351.90","338.83","61.38","76.00%","91.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","282.20","0.89%","288.00","6,58,43,426","3,55,015.48","7.83","-461.82","282.50","205.00","13.81%","15.66%","22.16%","81.77%","141.09%","0.96","4.38%","15.64%","11.31%","36.35","255.12","245.83","64.44","76.00%","89.30%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,470.30","-3.33%","1,462.00","42,07,514","3,38,751.11","28.04","33.88","1,584.00","1,036.50","7.80%","-2.57%","36.27%","161.62%","112.20%","4.16","0.43%","15.69%","13.60%","46.34","1,478.24","1,436.45","44.27","75.01%","80.00%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","453.95","2.08%","442.10","3,50,34,174","3,31,827.41","54.47","14.40","461.65","243.50","9.14%","9.90%","79.82%","375.84%","833.09%","15.06","0.54%","24.13%","33.72%","5.80","423.91","405.31","60.96","75.80%","87.50%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","1,941.90","-2.58%","1,950.00","15,95,247","3,10,279.35","16.61","30.18","2,195.00","1,733.00","1.26%","-7.67%","0.85%","43.06%","98.68%","4.17","0.05%","15.03%","10.65%","52.25","2,010.39","2,022.77","35.84","76.00%","91.00%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,267.30","0.21%","1,253.20","16,08,917","3,09,912.38","39.92","24.63","1,284.70","905.20","3.71%","9.19%","29.98%","86.23%","212.84%","3.74","0.28%","11.25%","7.49%","28.47","1,197.48","1,112.51","61.07","76.00%","90.58%"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","296.80","-0.62%","290.00","1,56,90,227","2,76,041.92","17.90","33.90","322.00","247.30","16.69%","8.44%","15.82%","80.54%","132.18%","2.81","3.01%","18.53%","12.27%","16.88","275.29","283.11","57.44","76.00%","90.26%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,776.00","-1.97%","9,725.50","3,30,330","2,73,002.24","31.36","8.69","10,187.00","7,089.35","2.99%","8.35%","18.75%","168.58%","156.32%","8.15","2.10%","26.61%","24.90%","286.76","9,564.46","8,929.67","51.10","76.00%","91.00%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","211.01","-0.62%","205.00","3,05,23,310","2,63,414.91","29.05","24.63","216.45","125.30","9.74%","25.50%","52.15%","98.88%","188.90%","2.84","1.70%","-5.31%","8.15%","1.60","192.03","171.99","61.08","76.00%","88.90%"
"Coal India","https://scanx.trade/company/coal-india-ltd","426.25","-1.02%","417.90","74,98,197","2,62,686.29","8.92","-3.03","461.55","352.40","0.79%","12.75%","17.15%","96.47%","176.16%","2.52","6.15%","44.71%","24.48%","59.34","421.90","395.78","50.65","76.00%","90.30%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,279.70","-0.93%","1,261.90","11,61,869","2,46,766.38","76.37","-488.77","1,340.40","1,055.00","-1.81%","1.05%","12.34%","37.43%","57.09%","56.16","1.05%","117.72%","59.30%","33.58","1,296.59","1,228.90","43.94","78.00%","91.00%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,124.60","-1.72%","2,093.00","21,34,522","2,45,217.24","17.68","14.50","2,612.78","1,848.00","8.43%","-5.78%","3.81%","83.62%","157.37%","4.62","0.06%","7.45%","10.92%","37.44","2,166.93","2,332.17","45.17","71.37%","80.00%"
"Eternal","https://scanx.trade/company/zomato-ltd","242.87","-1.39%","238.00","7,33,88,956","2,34,378.07","1,026.88","33.88","368.45","194.80","-4.33%","-19.78%","6.04%","353.12%","92.75%","7.70","-","1.72%","2.63%","0.68","278.04","291.45","29.71","72.84%","84.83%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,307.10","-2.91%","2,300.00","25,28,308","2,21,296.52","58.30","38.34","2,985.70","2,124.75","-12.04%","-19.87%","4.22%","-16.10%","-2.34%","11.64","1.04%","28.61%","23.98%","52.96","2,591.46","2,519.44","29.94","78.00%","91.00%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,826.00","-2.30%","7,800.00","4,94,148","2,14,666.58","41.04","42.58","8,230.00","4,755.00","9.23%","11.82%","58.57%","149.95%","206.16%","9.96","0.87%","22.17%","26.14%","152.70","7,461.10","6,567.34","54.21","78.00%","90.82%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","940.00","1.65%","901.10","55,73,300","2,11,239.29","12.94","117.55","1,029.80","546.45","-2.27%","16.40%","48.75%","128.27%","173.18%","1.54","0.53%","9.57%","12.85%","48.78","926.34","780.34","52.49","76.00%","88.37%"
"Wipro","https://scanx.trade/company/wipro-ltd","198.57","-1.19%","195.00","1,04,86,866","2,08,234.77","15.81","25.51","295.80","199.12","-15.43%","-20.43%","-32.57%","1.74%","-4.17%","2.46","2.98%","14.88%","18.97%","21.37","240.44","248.60","20.11","76.00%","89.68%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","2,032.20","-0.25%","2,028.00","10,09,225","2,03,795.08","82.38","30.18","2,132.00","1,379.85","-0.29%","1.38%","38.27%","79.98%","131.88%","10.74","0.13%","12.70%","0.56%","20.29","2,042.47","1,906.53","47.11","78.00%","91.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","1,052.50","-2.49%","1,044.00","67,17,872","1,98,013.36","22.21","30.18","1,108.00","566.50","5.14%","21.30%","73.45%","337.48%","294.61%","3.35","0.92%","14.88%","10.65%","201.17","1,014.26","771.82","52.08","75.03%","87.17%"
