Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Havells","https://scanx.trade/company/havells-india-ltd","1,354.00","-3.08%","1,360.00","8,61,596","84,930.58","59.12","5.06","1,673.80","1,250.10","5.05%","-5.62%","-6.70%","15.79%","21.75%","10.11","0.72%","17.06%","22.51%","22.20","1,391.37","1,482.68","41.33","78.00%","87.50%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","481.30","-1.32%","468.00","25,07,740","84,120.10","32.91","33.90","579.00","427.75","9.37%","-1.37%","4.90%","131.12%","547.78%","2.89","0.41%","8.21%","5.73%","11.18","482.31","507.22","49.21","72.61%","85.84%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","289.00","-4.23%","290.20","1,21,54,400","79,773.06","-18.80","33.88","474.00","297.00","-7.45%","-25.26%","-16.10%","-36.62%","-36.62%","4.21","-","-","-25.96%","-","343.33","384.11","28.91","65.00%","84.83%"
"Oil India","https://scanx.trade/company/oil-india-ltd","488.05","0.86%","503.00","1,87,79,292","79,386.59","11.88","-461.82","524.00","325.00","8.81%","16.98%","33.38%","198.37%","475.33%","1.40","2.38%","23.55%","11.77%","51.54","454.01","431.74","58.84","72.79%","85.78%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","172.30","-2.13%","170.50","1,11,69,455","78,442.47","8.16","10.53","178.36","92.66","5.60%","16.70%","78.40%","157.55%","112.98%","1.03","2.30%","9.28%","5.62%","15.14","158.42","133.07","57.79","70.00%","86.72%"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,554.90","-0.73%","1,491.00","8,54,154","78,351.96","24.54","33.90","1,640.00","1,188.00","18.72%","18.43%","18.45%","208.97%","303.71%","4.19","1.21%","15.05%","14.83%","47.61","1,392.13","1,346.29","66.13","73.97%","86.47%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,643.30","-2.44%","2,588.20","14,71,208","76,032.12","22.91","5.06","3,865.00","1,863.00","-1.93%","-17.84%","19.45%","13.01%","13.01%","6.79","-","-","24.78%","-","2,848.01","3,085.25","36.68","50.00%","81.85%"
"SRF","https://scanx.trade/company/srf-ltd","2,537.00","-0.98%","2,474.90","2,15,252","75,202.98","42.70","14.83","3,325.00","2,553.00","-5.41%","-10.67%","-11.11%","15.74%","133.97%","5.73","0.28%","11.64%","12.90%","41.45","2,886.94","2,962.25","29.09","76.00%","87.50%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","259.10","-2.40%","257.20","33,96,945","74,147.23","531.00","14.50","285.60","154.90","9.56%","-2.17%","61.25%","84.94%","-29.52%","54.76","-","1.78%","12.91%","0.14","258.39","237.27","46.11","75.00%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","4,673.40","-1.26%","4,600.00","6,37,428","73,722.89","43.13","25.51","6,599.00","4,148.95","-24.82%","-27.34%","-14.61%","93.86%","454.00%","10.45","0.73%","22.06%","28.61%","76.02","5,936.73","5,746.74","22.39","75.19%","86.39%"
"NHPC","https://scanx.trade/company/nhpc-ltd","73.14","-2.91%","72.76","2,57,23,090","73,469.38","21.11","33.90","92.34","71.00","-2.66%","-4.95%","-1.57%","90.47%","198.53%","1.84","2.53%","8.28%","6.14%","3.60","78.20","82.35","35.67","75.25%","87.50%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","942.50","-1.49%","939.00","15,68,186","73,427.91","-36.74","9.58","1,063.30","606.00","5.34%","9.92%","-9.96%","-12.89%","-11.75%","1.16","-","14.20%","5.98%","115.87","907.00","828.96","56.81","70.00%","86.16%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","294.95","-1.63%","290.00","62,75,477","72,644.58","17.51","9.58","302.00","172.66","3.51%","15.73%","65.04%","129.27%","255.15%","2.04","0.40%","12.70%","6.45%","16.45","277.69","230.76","60.06","76.00%","87.50%"
"NMDC","https://scanx.trade/company/nmdc-ltd","81.26","-0.59%","78.98","2,29,82,057","71,442.31","10.42","-3.03","86.72","59.53","3.07%","9.50%","24.65%","117.45%","162.64%","2.22","4.03%","24.47%","29.74%","20.82","81.71","75.22","49.65","75.15%","87.46%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","951.25","-0.74%","895.05","25,34,464","71,051.91","30.99","9.58","1,039.20","478.35","-1.28%","0.43%","70.87%","59.28%","65.66%","3.95","0.10%","38.28%","16.45%","23.05","991.06","846.69","40.21","76.00%","87.50%"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","746.50","-3.60%","750.00","11,39,992","71,033.02","35.39","30.18","1,027.25","725.15","-3.18%","-15.21%","-12.87%","-","-32.03%","5.00","0.32%","19.93%","20.03%","25.33","807.78","866.50","35.97","76.00%","87.50%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","932.50","-1.08%","903.75","11,77,977","70,399.85","72.53","38.38","1,104.30","595.60","11.22%","1.13%","51.43%","250.96%","446.12%","7.54","0.11%","7.54%","9.86%","8.50","893.81","889.89","58.15","75.00%","87.50%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,210.40","-0.82%","1,186.20","8,88,443","70,300.23","20.36","4.41","1,278.60","1,010.00","7.14%","-2.06%","12.00%","164.16%","38.55%","2.02","-","10.62%","15.74%","61.22","1,182.87","1,144.29","56.10","76.00%","87.50%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","275.80","-2.87%","273.65","80,61,770","69,022.47","25.34","30.18","329.45","132.58","-3.31%","-10.53%","97.72%","216.47%","157.28%","2.70","0.96%","9.85%","10.60%","9.93","296.13","250.27","37.78","75.00%","87.33%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","165.59","-0.07%","158.99","2,18,48,406","68,397.37","24.59","24.63","167.99","101.13","6.45%","21.57%","56.25%","99.51%","111.21%","1.18","0.96%","3.98%","6.70%","9.38","151.39","136.09","64.04","73.43%","85.85%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,468.90","-0.86%","1,445.10","18,45,136","67,962.29","118.30","49.84","1,978.00","1,311.35","-9.87%","-18.79%","-2.13%","167.36%","22.17%","10.13","-","-8.90%","6.22%","2.28","1,642.74","1,764.41","38.99","70.00%","84.25%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,059.40","-3.54%","1,065.00","49,95,351","67,752.79","-400.05","33.88","1,381.80","651.50","-7.46%","-18.07%","46.01%","66.81%","-32.12%","4.57","-","-13.67%","-4.12%","-","1,225.54","1,155.25","32.18","68.53%","82.61%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","362.85","2.33%","341.85","86,26,089","66,642.18","10.61","117.55","431.50","137.75","-5.66%","38.85%","102.30%","366.09%","506.77%","3.29","2.96%","10.93%","36.82%","10.50","349.31","246.69","54.56","71.97%","82.66%"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","5,566.00","-1.30%","5,415.00","54,260","66,549.88","27.83","4.41","5,933.50","4,491.65","-3.27%","-2.12%","20.67%","70.08%","96.87%","5.05","0.80%","16.91%","19.29%","179.80","5,643.43","5,381.83","47.86","78.00%","87.50%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,140.40","-4.05%","1,130.00","12,12,211","65,817.42","56.17","130.27","1,382.00","767.60","-0.40%","-13.11%","37.51%","128.33%","300.03%","11.02","0.19%","17.56%","19.22%","15.45","1,219.12","1,191.68","39.53","70.00%","70.00%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","998.50","-3.02%","994.00","26,65,892","64,744.80","39.70","33.88","1,550.00","1,006.10","-21.93%","-25.45%","-32.36%","41.84%","1.68%","1.38","0.58%","1.88%","4.80%","53.82","1,239.67","1,354.78","24.45","75.95%","87.50%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","2,501.20","2.37%","2,427.00","53,90,946","63,778.56","66.49","33.88","2,705.00","881.63","3.44%","19.97%","132.80%","802.86%","731.54%","29.86","0.25%","10.07%","24.11%","34.19","2,340.58","1,848.34","58.22","72.84%","80.00%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","20.18","-2.61%","19.93","14,10,54,900","63,319.90","20.52","9.58","24.30","16.02","-4.00%","-11.65%","16.24%","23.05%","23.80%","1.30","-","3.05%","5.95%","0.46","21.62","21.19","33.56","70.00%","87.50%"
"Biocon","https://scanx.trade/company/biocon-ltd","387.95","-0.47%","380.00","24,39,315","62,883.12","100.45","4.41","424.95","291.00","6.21%","-2.93%","24.40%","68.97%","-1.95%","1.67","0.10%","5.13%","6.26%","13.00","380.56","370.23","57.79","75.63%","87.50%"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","299.45","-5.34%","295.80","95,78,303","62,435.93","57.45","20.30","447.80","301.20","-7.55%","-7.73%","-14.46%","388.90%","822.80%","6.91","0.54%","19.39%","14.76%","6.98","330.83","348.40","34.70","67.60%","82.40%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,806.80","-0.36%","1,765.50","4,13,785","62,355.34","357.04","33.88","1,892.50","950.00","14.60%","4.54%","76.08%","158.32%","109.82%","11.80","-","8.99%","6.69%","11.00","1,711.84","1,615.05","56.05","75.00%","87.50%"
"APL Apollo Tubes","https://scanx.trade/company/apl-apollo-tubes-ltd","2,222.30","-0.55%","2,195.00","5,09,813","61,699.05","54.28","24.63","2,301.40","1,365.00","7.85%","28.09%","54.51%","79.13%","306.75%","13.46","0.26%","21.36%","22.02%","26.38","2,052.77","1,808.93","62.25","76.00%","87.50%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","71.78","-2.31%","70.50","6,05,16,758","61,694.14","40.15","9.58","87.00","52.46","-14.04%","-10.83%","21.21%","31.95%","13.13%","1.35","0.29%","9.12%","5.55%","3.82","82.49","75.89","32.77","76.00%","86.88%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","10,151.00","-3.58%","10,110.00","4,99,942","61,602.10","35.38","14.19","18,471.00","9,835.00","-0.32%","-30.68%","-26.57%","265.29%","160.50%","15.77","0.08%","19.86%","41.33%","72.30","11,327.38","14,688.85","36.09","70.00%","84.74%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,214.90","-1.76%","2,198.80","2,26,434","60,242.10","46.19","42.65","2,747.40","2,029.40","2.83%","2.01%","-11.30%","51.74%","39.91%","38.74","2.26%","70.62%","111.07%","51.99","2,135.27","2,265.68","55.07","78.00%","87.50%"
