Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"SMC Global Securities","https://scanx.trade/company/smc-global-securities-ltd","76.85","-1.90%","78.00","1,93,206","1,609.24","19.14","30.80","94.90","50.50","7.02%","28.00%","29.88%","101.44%","46.16%","1.31","1.53%","17.15%","17.14%","20.08","82.35","72.21","42.97","60.00%","-"
"Rishabh Instruments","https://scanx.trade/company/rishabh.ltd","417.65","-2.54%","426.90","44,298","1,606.68","24.22","4.69","490.00","201.50","25.16%","-1.36%","93.27%","-5.75%","-5.75%","2.40","-","-","5.04%","-","398.02","367.56","50.02","-","-"
"EMS","https://scanx.trade/company/emslimited.ltd","288.75","-1.90%","293.00","1,46,660","1,603.45","12.32","-11.88","695.40","288.00","-13.16%","-35.41%","-53.06%","3.16%","3.16%","1.57","0.51%","22.18%","23.98%","30.10","368.80","508.10","32.22","50.00%","65.00%"
"Talbros Automotive Components","https://scanx.trade/company/talbros-automotive-components-ltd","259.60","-0.52%","258.00","36,495","1,602.46","16.30","130.59","326.00","200.20","5.38%","-6.84%","16.41%","209.19%","487.73%","2.37","0.27%","15.12%","19.51%","13.52","269.20","282.34","41.84","50.00%","-"
"Simplex Infrastructures","https://scanx.trade/company/simplex-infrastructures-ltd","202.35","-0.13%","201.77","22,364","1,600.49","24.77","19.99","342.45","188.12","2.49%","-29.95%","-23.60%","400.25%","452.11%","1.72","-","-","1.62%","-","231.89","272.32","37.17","50.00%","-"
"Fino Payments Bank","https://scanx.trade/company/fino-payments-bank-ltd","192.19","-7.73%","209.30","27,86,539","1,599.37","24.98","9.69","339.00","199.15","-9.77%","-34.22%","-14.03%","-11.70%","-64.66%","2.30","-","11.78%","4.97%","11.03","231.37","265.89","31.32","50.00%","70.00%"
"Aimtron Electronics","https://scanx.trade/company/aimtron-electronics-ltd","779.95","0.97%","772.95","18,200","1,592.18","61.50","15.18","1,040.00","358.00","8.68%","-20.13%","74.49%","208.22%","208.22%","10.17","-","-","20.74%","-","815.10","748.41","42.07","-","-"
"Windlas Biotech","https://scanx.trade/company/windlas.ltd","755.00","-1.35%","766.30","12,462","1,591.33","24.05","33.06","1,140.00","731.75","-4.03%","-5.44%","-4.83%","194.81%","85.44%","3.01","0.76%","10.60%","16.47%","28.52","797.88","886.86","38.67","50.00%","-"
"Pashupati Cotspin","https://scanx.trade/company/pashupati-cotspin-ltd","999.55","0.64%","1,005.00","7,606","1,577.69","98.57","177.72","1,005.90","593.40","31.11%","23.81%","65.93%","776.80%","1,565.92%","9.78","0.05%","-","16.08%","-","841.70","747.27","87.68","-","-"
"Apollo Pipes","https://scanx.trade/company/apollo-pipes-ltd","358.00","3.11%","347.25","3,92,832","1,576.93","104.01","27.44","494.95","252.10","31.57%","18.72%","-0.06%","-27.34%","52.60%","1.85","0.20%","22.15%","5.99%","10.31","298.43","358.02","72.29","50.00%","-"
"Som Distilleries & Breweries","https://scanx.trade/company/som-distilleries-breweries-ltd","80.43","-0.94%","80.60","5,19,328","1,568.29","18.65","29.35","173.03","78.51","-10.54%","-30.93%","-28.34%","70.84%","537.32%","2.04","-","16.06%","17.34%","4.82","94.51","127.65","37.11","50.00%","65.00%"
"Sanstar","https://scanx.trade/company/sanstarltd","86.03","-0.12%","85.60","1,33,944","1,567.85","23.63","34.23","107.29","80.00","-7.14%","-7.02%","-4.43%","-25.24%","-25.24%","2.56","-","26.31%","31.75%","3.62","91.00","91.77","32.93","60.00%","-"
"GPT Infraprojects","https://scanx.trade/company/gpt-infraprojects-ltd","124.02","-0.02%","124.00","1,59,401","1,567.17","17.60","19.99","149.80","84.48","21.59%","13.72%","27.19%","394.50%","1,082.27%","2.86","2.42%","-","21.01%","-","110.64","117.84","62.38","50.00%","-"
"UGRO Capital","https://scanx.trade/company/ugro-capital-ltd","111.03","-3.88%","114.70","6,71,681","1,552.84","14.43","30.80","195.94","112.00","-24.41%","-35.77%","-27.24%","-25.35%","-1.03%","0.52","-","8.30%","9.51%","13.40","150.67","169.03","21.81","50.00%","-"
"Vidhi Specialty Food Ingredients","https://scanx.trade/company/vidhi-specialty-food-ingredients-ltd","310.25","-0.13%","307.00","5,368","1,549.54","32.36","-76.93","482.95","272.05","-2.44%","-14.87%","-30.93%","-8.87%","125.39%","4.98","1.14%","15.04%","20.18%","7.31","323.52","369.46","45.13","50.00%","-"
"One Mobikwik Systems","https://scanx.trade/company/one-mobikwik-systems-ltd","196.46","-1.94%","200.35","7,95,544","1,545.32","-12.86","34.23","354.40","190.62","-0.73%","-17.35%","-33.18%","-62.79%","-62.79%","3.01","-","-","-15.20%","-","219.21","248.61","36.47","60.00%","70.00%"
"Sanghi Industries","https://scanx.trade/company/sanghi-industries-ltd","59.67","-2.48%","62.00","10,92,933","1,541.43","-3.72","228.35","70.40","50.58","-1.27%","-6.27%","13.83%","-10.20%","39.91%","3.75","-","-40.40%","-7.22%","-","63.05","63.90","36.85","50.00%","-"
"All Time Plastics","https://scanx.trade/company/all-time-plastics-ltd","235.29","-3.33%","244.50","43,452","1,541.33","45.04","27.44","334.90","218.00","3.33%","-14.50%","-16.95%","-16.95%","-16.95%","2.71","-","-","20.98%","-","249.26","-","41.58","-","-"
"R&B Denims","https://scanx.trade/company/rb-denims-ltd","170.81","-4.99%","170.81","8,813","1,536.84","51.89","177.72","203.00","97.55","22.76%","31.51%","65.27%","65.27%","65.27%","8.32","-","-","20.39%","-","151.86","-","49.04","-","-"
"SBC Exports","https://scanx.trade/company/sbc-exports-ltd","32.24","0.16%","32.11","81,82,133","1,535.24","51.05","-29.04","32.49","10.95","8.52%","24.82%","135.84%","341.04%","1,605.82%","21.71","-","19.67%","30.65%","0.43","29.58","22.37","78.49","50.00%","60.00%"
"Sportking","https://scanx.trade/company/sportking-india-ltd","115.50","-0.71%","119.00","85,408","1,534.67","11.97","21.70","140.00","69.91","41.94%","18.58%","52.29%","74.92%","12.03%","1.40","0.87%","7.80%","14.28%","66.10","95.98","104.66","65.61","60.00%","-"
"Associated Alcohols & Breweries","https://scanx.trade/company/associated-alcohols-breweries-ltd","808.05","0.92%","801.05","16,871","1,533.61","17.43","29.35","1,477.95","774.05","2.15%","-18.38%","-31.65%","121.84%","130.97%","2.59","0.24%","18.03%","20.30%","30.97","877.03","1,007.59","38.31","50.00%","-"
"Motisons Jewellers","https://scanx.trade/company/motisons-jewellers-ltd","15.51","-2.82%","15.85","23,43,665","1,526.90","23.84","68.36","24.02","10.62","40.24%","-7.01%","-14.97%","49.71%","49.71%","3.51","-","-","15.93%","-","14.10","17.51","57.05","50.00%","-"
"BF Investment","https://scanx.trade/company/bf-investment-ltd","401.30","-1.61%","407.00","9,068","1,511.60","9.29","30.80","562.45","360.50","7.66%","-9.20%","-8.24%","-2.03%","45.29%","0.22","-","6.99%","3.98%","115.17","401.09","456.00","49.34","50.00%","-"
"Godavari Biorefineries","https://scanx.trade/company/godavari-biorefineriesltd","294.65","3.91%","289.50","55,57,517","1,507.90","64.13","13.41","348.70","145.00","15.71%","16.30%","84.38%","-14.15%","-14.15%","2.00","-","-","6.56%","-","274.29","267.89","61.33","-","-"
